,no_suivi,no_rapport,type_rapport,date_envoi,crc,titre,note,type_etablissement,lat,long,ville,departement
239,,jf00137353.html,Rapport d'observations définitives,13/11/2013,CRC Aquitaine Poitou-Charentes,Chambre de commerce et d'industrie - Chambre de commerce et d'industrie (CCI) de la Dordogne - Périgueux (Dordogne),-416,Chambre de commerce et d'industrie,45.191870487299994,0.711825549847,Périgueux,Dordogne
240,CALR201309,jf00137368.html,Rapport d'observations définitives,31/01/2013,CRC Champagne-Ardenne Lorraine,Etablissement hospitalier public - Hopital local de Lamarche - Lamarche (Vosges),-256,Etablissement hospitalier public,48.062412478599995,5.777719598689999,Lamarche,Vosges
241,CALR201318,jf00137370.html,Rapport d'observations définitives,18/04/2013,CRC Champagne-Ardenne Lorraine,Société d'économie mixte - Societe d'economie mixte Reims Evénements - Reims (Marne),-56,Société d'économie mixte,49.2514906066,4.0402302322,Reims,Marne
242,CALR201321,jf00137371.html,Rapport d'observations définitives,23/05/2013,CRC Champagne-Ardenne Lorraine,Régie - Régie municipale d'électricité de Bitche - Bitche (Moselle),68,Régie,49.04734717189999,7.459601871,Bitche,Moselle
243,CALR201328,jf00137372.html,Rapport d'observations définitives,20/06/2013,CRC Champagne-Ardenne Lorraine,Commune - Commune d'Epernay - Epernay (Marne),-41,Commune,49.037000688999996,3.93144626202,Epernay,Marne
244,,jf00137394.html,Rapport d'observations définitives,15/11/2013,CRC Provence-Alpes-Côte d'Azur,Commune - Martigues - Martigues (Bouches-du-Rhône),-333,Commune,43.379892048900004,5.04945402314,Martigues,Bouches-du-Rhône
245,,jf00137406.html,Rapport d'observations définitives,15/11/2013,CRC Provence-Alpes-Côte d'Azur,Société d'économie mixte - SEM Martigues-Communication - Martigues (Bouches-du-Rhône),-23,Société d'économie mixte,43.379892048900004,5.04945402314,Martigues,Bouches-du-Rhône
246,,jf00137416.html,Rapport d'observations définitives,15/11/2013,CRC Provence-Alpes-Côte d'Azur,Société d'économie mixte - SEMOVIM  - Martigues (Bouches-du-Rhône),-93,Société d'économie mixte,43.379892048900004,5.04945402314,Martigues,Bouches-du-Rhône
247,,jf00137422.html,Rapport d'observations définitives,14/06/2013,CRC Auvergne Rhône-Alpes,Syndicat d'électrification - Syndicat départemental d'énergies de la Drôme - Valence (Drôme),-146,Syndicat d'électrification,44.9229811667,4.91444013136,Valence,Drôme
248,13-0168 R,jf00137430.html,Rapport d'observations définitives,05/11/2013,CRC Ile-de-France,Commune - Bois-Colombes -  (Hauts-de-Seine),-101,Commune,48.917402,2.269675,Bois-Colombes,Hauts-de-Seine
249,,jf00137438.html,Rapport d'observations définitives,18/11/2013,CRC Aquitaine Poitou-Charentes,Commune - Saint-Maixent-l'Ecole -  (Deux-Sèvres),-27,Commune,46.413165000000006,-0.20341,Saint-Maixent-l'École,Deux-Sèvres
250,D131089,jf00137466.html,Rapport d'observations définitives,17/05/2013,CRC Auvergne Rhône-Alpes,Département - Departement de la Drome - Valence (Drôme),-22,Département,44.9229811667,4.91444013136,Valence,Drôme
251,2013-42,jf00137480.html,Rapport d'observations définitives,07/10/2013,CRC Bretagne,Commune - Saint-Pol-de-Leon - Saint-Pol-de-Leon (Finistère),162,Commune,48.63026660000001,-3.987971,Saint-Pol-de-Leon,Finistère
252,CALR201319,jf00137507.html,Rapport d'observations définitives,13/05/2013,CRC Champagne-Ardenne Lorraine,Communauté urbaine - Communaute urbaine du grand Nancy (CUGN) - Nancy (Meurthe-et-Moselle),56,Communauté urbaine,48.6901995499,6.17588254434,Nancy,Meurthe-et-Moselle
253,,jf00137509.html,Rapport d'observations définitives,17/10/2013,CRC Basse-Normandie Haute-Normandie,Association - Calvados Stratégie - Caen (Calvados),-66,Association,49.1847936737,-0.369801713036,Caen,Calvados
254,13-  1255,jf00137517.html,Rapport d'observations définitives,21/10/2013,CRC Alsace,Commune - Commune de Saverne - Saverne (Bas-Rhin),-38,Commune,48.7402250066,7.342062381989999,Saverne,Bas-Rhin
255,LRR201310,jf00137537.html,Rapport d'observations définitives,15/11/2013,CRC Languedoc-Roussillon,Commune - Montpellier -  (Hérault),-54,Commune,43.610769,3.876716000000001,Montpellier,Hérault
256,CALR201323,jf00137562.html,Rapport d'observations définitives,30/05/2013,CRC Champagne-Ardenne Lorraine,Office public de l'habitat - Office public de l'habitat de Saint-Dizier - Saint-Dizier (Haute-Marne),-132,Office public de l'habitat,48.6280100668,4.94923523578,Saint-Dizier,Haute-Marne
257,,jf00137600.html,Rapport d'observations définitives,09/10/2013,CRC Basse-Normandie Haute-Normandie,"Syndicat intercommunal - Syndicat d'adduction d'eau potable, de production et de distribution du Plateau de Saint-André de l'Eure - Saint-André-de-L'Eure (Eure)",11,Syndicat intercommunal,48.9026554238,1.27831847187,Saint-André-de-L'Eure,Eure
258,2013-47,jf00137625.html,Rapport d'observations définitives,05/11/2013,CRC Bretagne,Commune - Domloup - Domloup (Ille-et-Vilaine),-69,Commune,48.067068804099996,-1.5428838018200002,Domloup,Ille-et-Vilaine
259,2013-52,jf00137629.html,Rapport d'observations définitives,12/11/2013,CRC Bretagne,Commune - Erquy - Erquy (Côtes-d'Armor),29,Commune,48.6194186311,-2.45858442922,Erquy,Côtes-d'Armor
260,2013033,jf00137641.html,Rapport d'observations définitives,12/11/2013,CRC Centre Limousin,Commune - Commune de Chartres - Chartres (Eure-et-Loir),-31,Commune,48.4471464884,1.50570610616,Chartres,Eure-et-Loir
261,2013-45,jf00137688.html,Rapport d'observations définitives,25/10/2013,CRC Bretagne,Commune - Saint-Georges-de-Chesne - Saint-Georges-de-Chesne (Ille-et-Vilaine),11,Commune,48.27356899999999,-1.291094,Saint-Georges-de-Chesne,Ille-et-Vilaine
262,,jf00137693.html,Rapport d'observations définitives,14/11/2013,CRC Basse-Normandie Haute-Normandie,Commune - Alençon -  (Orne),-7,Commune,48.432856,0.091266,Alençon,Orne
263,2013-46,jf00137694.html,Rapport d'observations définitives,25/10/2013,CRC Bretagne,Commune - Questembert - Questembert (Morbihan),-30,Commune,47.66380177470001,-2.43671076032,Questembert,Morbihan
264,,jf00137757.html,Rapport d'observations définitives,20/09/2013,CRC Basse-Normandie Haute-Normandie,Communauté urbaine - Communauté urbaine d'Alençon - Alençon (Orne),-30,Communauté urbaine,48.4318193082,0.0915406916107,Alençon,Orne
265,,jf00137763.html,Rapport d'observations définitives,04/10/2013,CRC Basse-Normandie Haute-Normandie,Communauté urbaine - Communaute urbaine de Cherbourg - Cherbourg-Octeville (Manche),-83,Communauté urbaine,49.633412156000006,-1.63390160204,Cherbourg-Octeville,Manche
266,2013034,jf00137785.html,Rapport d'observations définitives,28/10/2013,CRC Centre Limousin,Commune - Commune de Blois - Blois (Loir-et-Cher),-83,Commune,47.5817013938,1.30625551583,Blois,Loir-et-Cher
267,2013036,jf00137804.html,Rapport d'observations définitives,19/09/2013,CRC Centre Limousin,Etablissement public territorial - Etablissement public Loire - Orléans (Loiret),-231,Etablissement public territorial,47.8828634214,1.91610357477,Orléans,Loiret
268,13- 1 264 ,jf00137914.html,Rapport d'observations définitives,22/10/2013,CRC Alsace,Commune - Commune de Thann - Thann (Haut-Rhin),-25,Commune,47.8139111281,7.095024572330001,Thann,Haut-Rhin
269,2013-51,jf00137940.html,Rapport d'observations définitives,08/11/2013,CRC Bretagne,Commune - Guidel - Guidel (Morbihan),358,Commune,47.79400768510001,-3.49161886127,Guidel,Morbihan
270,,jf00137984.html,Rapport d'observations définitives,05/12/2013,CRC Aquitaine Poitou-Charentes,Etablissement hospitalier public - Centre Hospitalier de la Côte Basque - Bayonne (Pyrénées-Atlantiques),-221,Etablissement hospitalier public,43.492225401599995,-1.4660767435799995,Bayonne,Pyrénées-Atlantiques
271,nÂ° 2013-06,jf00137996.html,Rapport d'observations définitives,02/05/2013,CRC Bretagne,Communauté de communes - Communaute de communes de la Baie du Kernic - Cléder (Finistère),0,Communauté de communes,48.6605439147,-4.12447333857,Cléder,Finistère
272,nÂ° 2013-27,jf00137997.html,Rapport d'observations définitives,08/07/2013,CRC Bretagne,Commune - Janzé - Janzé (Ille-et-Vilaine),-60,Commune,47.9428950804,-1.50038718382,Janzé,Ille-et-Vilaine
273,D133103,jf00138015.html,Rapport d'observations définitives,20/11/2013,CRC Auvergne Rhône-Alpes,Communauté de communes - Communauté de commune du pays de Saint-Marcellin - Saint-Marcellin (Isère),-24,Communauté de communes,45.1534136901,5.31720171085,Saint-Marcellin,Isère
274,nÂ° 2013-18,jf00138035.html,Rapport d'observations définitives,17/05/2013,CRC Bretagne,Association - Association Palais du Grand Large - Saint-Malo (Ille-et-Vilaine),-3,Association,48.6400443482,-1.98060627256,Saint-Malo,Ille-et-Vilaine
275,13 ROD2 35,jf00138062.html,Rapport d'observations définitives,10/12/2013,CRC Bourgogne Franche-Comté,Centre hospitalier spécialisé - Centre hospitalier spécialisé d'Auxerre - Auxerre (Yonne),-1,Centre hospitalier spécialisé,47.793488225,3.58168281761,Auxerre,Yonne
276,2013-229,jf00138092.html,Rapport d'observations définitives,21/10/2013,CRC Pays de la Loire,Association - Théâtre Royal de Luxe - Nantes (Loire-Atlantique),1,Association,47.2316356767,-1.54831008605,Nantes,Loire-Atlantique
277,2013-31,jf00138101.html,Rapport d'observations définitives,09/10/2013,CRC Basse-Normandie Haute-Normandie,Syndicat intercommunal - Syndicat intercommunal de production et d'adduction d'eau potable de la région de Beuzeville (SIPAEP de Beuzeville) - BEUZEVILLE (Eure),21,Syndicat intercommunal,49.3380079083,0.34270671359800003,BEUZEVILLE,Eure
278,,jf00138169.html,Rapport d'observations définitives,20/09/2013,CRC Basse-Normandie Haute-Normandie,Communauté urbaine - Communaute urbaine d'Alençon - Alençon (Orne),-9,Communauté urbaine,48.4318193082,0.0915406916107,Alençon,Orne
279,,jf00138202.html,Rapport d'observations définitives,31/07/2013,CRC Basse-Normandie Haute-Normandie,Commune - Lisieux -  (Calvados),0,Commune,49.145922,0.227849,Lisieux,Calvados
280,,jf00138204.html,Rapport d'observations définitives,12/07/2013,CRC Basse-Normandie Haute-Normandie,Commune - Granville -  (Manche),-1,Commune,48.837579,-1.597302,Granville,Manche
281,,jf00138205.html,Rapport d'observations définitives,06/02/2013,CRC Basse-Normandie Haute-Normandie,Région - Région de Basse-Normandie  - Caen (Calvados),80,Région,49.1847936737,-0.369801713036,Caen,Calvados
282,D 133285,jf00138236.html,Rapport d'observations définitives,03/12/2013,CRC Auvergne Rhône-Alpes,Société d'économie mixte - Société d'économie mixte des Voies Férrées du Dauphiné - Grenoble (Isère),-835,Société d'économie mixte,45.1821215167,5.721330517519998,Grenoble,Isère
283,D133031,jf00138238.html,Rapport d'observations définitives,20/11/2013,CRC Auvergne Rhône-Alpes,Commune - Saint-Marcellin - Saint-Marcellin (Isère),8,Commune,45.1534136901,5.31720171085,Saint-Marcellin,Isère
284,,jf00138251.html,Rapport d'observations définitives,24/01/2013,CRC Basse-Normandie Haute-Normandie,Syndicat intercommunal - Syndicat intercommunal d'équipement d'Harfleur et de Gonfreville-L'Orcher (SIEHGO) - Gonfreville-L'Orcher (Seine-Maritime),7,Syndicat intercommunal,49.4860837457,0.221985693724,Gonfreville-L'Orcher,Seine-Maritime
285,,jf00138260.html,Rapport d'observations définitives,02/05/2013,CRC Basse-Normandie Haute-Normandie,Communauté de communes - Communaute de communes des Pieux - Les Pieux (Manche),30,Communauté de communes,49.5103059572,-1.82036292827,Les Pieux,Manche
286,598,jf00138304.html,Rapport d'observations définitives,06/12/2013,CRC Nord-Pas-de-Calais Picardie,Département - Département du Pas-de-Calais -  (Pas-de-Calais),-125,Département,50.95129000000001,1.858686,Calais,Pas-de-Calais
287,LRR201312,jf00138311.html,Rapport d'observations définitives,19/11/2013,CRC Languedoc-Roussillon,Communauté de communes - Communauté de communes Coeur de Lozère - Mende (Lozère),-83,Communauté de communes,44.529450859200004,3.48086881176,Mende,Lozère
288,2013038,jf00138313.html,Rapport d'observations définitives,08/10/2013,CRC Centre Limousin,Etablissement hospitalier public - Centre hospitalier de Blois - Blois (Loir-et-Cher),-370,Etablissement hospitalier public,47.5817013938,1.30625551583,Blois,Loir-et-Cher
289,LRR201314,jf00138315.html,Rapport d'observations définitives,10/12/2013,CRC Languedoc-Roussillon,Société d'économie mixte - Transports de l'agglomération de Montpellier (SAEML TAM) - Montpellier (Hérault),-505,Société d'économie mixte,43.6134409138,3.86851657896,Montpellier,Hérault
290,CALR201325,jf00138345.html,Rapport d'observations définitives,12/06/2013,CRC Champagne-Ardenne Lorraine,Etablissement hospitalier public - Centre Hospitalier Regional de Metz-Thionville - Metz (Moselle),-202,Etablissement hospitalier public,49.1081133279,6.1955245421,Metz,Moselle
291,CARLR201333,jf00138348.html,Rapport d'observations définitives,13/09/2013,CRC Champagne-Ardenne Lorraine,Foyer de l'enfance - Centre départemental de l'Enfance de la Moselle - Metz (Moselle),-75,Foyer de l'enfance,49.1081133279,6.1955245421,Metz,Moselle
292,CALR201339,jf00138349.html,Rapport d'observations définitives,29/10/2013,CRC Champagne-Ardenne Lorraine,Chambre de commerce et d'industrie - Chambre regionale de commerce et d'industrie de Lorraine - Nancy (Meurthe-et-Moselle),-18,Chambre de commerce et d'industrie,48.6901995499,6.17588254434,Nancy,Meurthe-et-Moselle
293,,jf00138387.html,Rapport d'observations définitives,10/12/2013,CRC Aquitaine Poitou-Charentes,Région - Région Aquitaine (mutation industrielle du bassin de Lacq) - Bordeaux (Gironde),-27,Région,44.8572445351,-0.57369678116,Bordeaux,Gironde
294,13- 1 431,jf00138477.html,Rapport d'observations définitives,16/12/2013,CRC Alsace,Société d'économie mixte - Société d'aménagement et d'équipement de la région de Strasbourg - Strasbourg (Bas-Rhin),-267,Société d'économie mixte,48.5712679849,7.767526795169999,Strasbourg,Bas-Rhin
295,2013-58,jf00138522.html,Rapport d'observations définitives,22/11/2013,CRC Bretagne,Association - Association amicale des conseillers généraux d'Ille-et-Vilaine - Rennes (Ille-et-Vilaine),-4,Association,48.1119791219,-1.6818644914399998,Rennes,Ille-et-Vilaine
296,2013-59,jf00138592.html,Rapport d'observations définitives,19/11/2013,CRC Bretagne,Association - Association amicale des conseillers généraux du Finistère - Quimper (Finistère),-43,Association,47.9971425162,-4.0911194445499985,Quimper,Finistère
297,,jf00138639.html,Rapport d'observations définitives,19/09/2013,CRC Midi-Pyrénées,Syndicat d'électrification - Syndicat departemental d'electricite de la Haute-Garonne - Toulouse (Haute-Garonne),-3,Syndicat d'électrification,43.5963814303,1.43167293364,Toulouse,Haute-Garonne
298,CALR201312,jf00138645.html,Rapport d'observations définitives,31/01/2013,CRC Champagne-Ardenne Lorraine,Etablissement hospitalier public - Senones - Senones (Vosges),-189,Etablissement hospitalier public,48.4067567692,6.9636413109,Senones,Vosges
299,,jf00138808.html,Rapport d'observations définitives,26/02/2013,CRC Auvergne Rhône-Alpes,Commune - Valence - Valence (Drôme),-10,Commune,44.9229811667,4.91444013136,Valence,Drôme
300,,jf00138822.html,Rapport d'observations définitives,15/11/2013,CRC Basse-Normandie Haute-Normandie,Communauté de communes - Communauté de communes du Canton de Gournay-en-Bray - Gournay-en-Bray (Seine-Maritime),-69,Communauté de communes,49.4798020531,1.71814645212,Gournay-en-Bray,Seine-Maritime
301,2013-233,jf00138909.html,Rapport d'observations définitives,02/12/2013,CRC Pays de la Loire,Région - Région des Pays de la Loire - Nantes (Loire-Atlantique),98,Région,47.2316356767,-1.54831008605,Nantes,Loire-Atlantique
302,2013-234,jf00138968.html,Rapport d'observations définitives,02/12/2013,CRC Pays de la Loire,Société d'économie mixte - Sem régionale des Pays de la Loire - Nantes (Loire-Atlantique),-95,Société d'économie mixte,47.2316356767,-1.54831008605,Nantes,Loire-Atlantique
303,2013-235,jf00138969.html,Rapport d'observations définitives,02/12/2013,CRC Pays de la Loire,Etablissement public territorial - Société Publique Régionale des Pays de la Loire - Nantes (Loire-Atlantique),-87,Etablissement public territorial,47.2316356767,-1.54831008605,Nantes,Loire-Atlantique
304,2013-57,jf00139003.html,Rapport d'observations définitives,19/11/2013,CRC Bretagne,Association - Association amicale des conseillers généraux des Côtes d'Armor - Saint-Brieuc (Côtes-d'Armor),-41,Association,48.514980605299996,-2.76154552773,Saint-Brieuc,Côtes-d'Armor
305,2013-43,jf00139019.html,Rapport d'observations définitives,08/10/2013,CRC Bretagne,Communauté d'agglomération - communaute d'agglomeration du Pays de Lorient - Lorient (Morbihan),30,Communauté d'agglomération,47.75004869470001,-3.37823200917,Lorient,Morbihan
306,,jf00139028.html,Rapport d'observations définitives,23/12/2013,CRC Basse-Normandie Haute-Normandie,Syndicat mixte - Syndicat mixte du Pays des Hautes Falaises - Fécamp (Seine-Maritime),-82,Syndicat mixte,49.752324530600006,0.395297587433,Fécamp,Seine-Maritime
307,2014-01,jf00139067.html,Rapport d'observations définitives,24/12/2013,CRC Guadeloupe-Guyane-Martinique,Région - Région Martinique - Fort-de-France (Martinique),-93,Région,14.6160647,-61.0587804,Fort-de-France,Martinique
308,2013-48,jf00139164.html,Rapport d'observations définitives,05/11/2013,CRC Bretagne,Commune - La Gouesniere - La Gouesnière (Ille-et-Vilaine),5,Commune,48.60307019020001,-1.88737306807,La Gouesnière,Ille-et-Vilaine
309,2013-49,jf00139168.html,Rapport d'observations définitives,08/11/2013,CRC Bretagne,Commune - Pordic - Pordic (Côtes-d'Armor),2,Commune,48.570227520799996,-2.82517190036,Pordic,Côtes-d'Armor
310,2013-53,jf00139170.html,Rapport d'observations définitives,13/11/2013,CRC Bretagne,Office public de l'habitat - Office public de l'habitat de Douarnenez - Douarnenez (Finistère),-233,Office public de l'habitat,48.080652655600005,-4.32784220122,Douarnenez,Finistère
311,2013-55,jf00139181.html,Rapport d'observations définitives,18/11/2013,CRC Bretagne,Commune - Melesse - Melesse (Ille-et-Vilaine),18,Commune,48.2193069814,-1.68950220558,Melesse,Ille-et-Vilaine
312,LRR201403,jf00139295.html,Rapport d'observations définitives,19/11/2013,CRC Languedoc-Roussillon,Association - Les Neiges Catalanes - Les Angles (Pyrénées-Orientales),-177,Association,42.5797574108,2.05268528008,Les Angles,Pyrénées-Orientales
313,,jf00139339.html,Rapport d'observations définitives,17/05/2013,CRC Auvergne Rhône-Alpes,Communauté de communes - Communaute de communes de la Plaine de l'Ain - Chazey-sur-Ain (Ain),-32,Communauté de communes,45.8929448968,5.25528498524,Chazey-sur-Ain,Ain
314,2014-001,jf00139355.html,Rapport d'observations définitives,19/11/2013,CRC Midi-Pyrénées,Société d'économie mixte - Société d'économie mixte Nouvelles Pyrénées - Lourdes (Hautes-Pyrénées),-7,Société d'économie mixte,43.10742973439999,-0.0768069387932,Lourdes,Hautes-Pyrénées
315,NPR201341,jf00139463.html,Rapport d'observations définitives,11/10/2013,CRC Nord-Pas-de-Calais Picardie,Régie - Régie départementale des transports de l'Aisne-RTA - Gauchy (Aisne),-49,Régie,49.8234688599,3.2864918966100003,Gauchy,Aisne
316,NPR201342,jf00139467.html,Rapport d'observations définitives,12/12/2013,CRC Nord-Pas-de-Calais Picardie,Etablissement hospitalier public - Centre hospitalier de Dunkerque - Dunkerque (Nord),-261,Etablissement hospitalier public,51.0307229078,2.33752414095,Dunkerque,Nord
317,NPR201344,jf00139468.html,Rapport d'observations définitives,20/09/2013,CRC Nord-Pas-de-Calais Picardie,Etablissement hospitalier public - Centre hospitalier d'Arras - Arras (Pas-de-Calais),-167,Etablissement hospitalier public,50.2898964997,2.76587316711,Arras,Pas-de-Calais
318,2013-50,jf00139530.html,Rapport d'observations définitives,08/11/2013,CRC Bretagne,Syndicat intercommunal - Syndicat intercommunal d'adduction d'eau du Trégor - Trélévern (Côtes-d'Armor),-39,Syndicat intercommunal,48.801785558,-3.36967789456,Trélévern,Côtes-d'Armor
319,213-56,jf00139702.html,Rapport d'observations définitives,18/11/2013,CRC Bretagne,Commune - Carhaix-Plouguer - Carhaix-Plouguer (Finistère),-277,Commune,48.268757882299994,-3.56626363851,Carhaix-Plouguer,Finistère
320,,jf00139854.html,Rapport d'observations définitives,04/10/2013,CRC Basse-Normandie Haute-Normandie,Communauté urbaine - Communaute urbaine de Cherbourg - Cherbourg-Octeville (Manche),-8,Communauté urbaine,49.633412156000006,-1.63390160204,Cherbourg-Octeville,Manche
321,2013-1563,jf00139861.html,Rapport d'observations définitives,20/12/2013,CRC Alsace,Centre de gestion de la fonction publique territoriale - Centre de gestion de la Fonction Publique Territoriale du Bas-Rhin - Lingolsheim (Bas-Rhin),-221,Centre de gestion de la fonction publique territoriale,48.55448758520001,7.68093840708,Lingolsheim,Bas-Rhin
322,2014001,jf00139892.html,Rapport d'observations définitives,22/11/2013,CRC Centre Limousin,Commune - Commune de Mainvilliers - Mainvilliers (Eure-et-Loir),-74,Commune,48.462541156099995,1.44581970225,Mainvilliers,Eure-et-Loir
323,13-0124 R,jf00139898.html,Rapport d'observations définitives,29/11/2013,CRC Ile-de-France,Commune - Pierrefitte-sur-Seine -  (Seine-Saint-Denis),-177,Commune,48.967903,2.364077,Pierrefitte-sur-Seine,Seine-Saint-Denis
324,,jf00139913.html,Rapport d'observations définitives,30/10/2013,CRC Basse-Normandie Haute-Normandie,Communauté d'agglomération - Communauté d'agglomération Rouen-Elbeuf-Austreberthe (CREA) - Rouen (Seine-Maritime),-12,Communauté d'agglomération,49.441346010299995,1.09256784278,Rouen,Seine-Maritime
325,2014-0004,jf00139984.html,Rapport d'observations définitives,19/11/2013,CRC Midi-Pyrénées,Commune - Decazeville - Decazeville (Aveyron),-70,Commune,44.567273002,2.25243853064,Decazeville,Aveyron
326,KAR D132946 KJF,jf00140011.html,Rapport d'observations définitives,07/11/2013,CRC Auvergne Rhône-Alpes,Commune - Saint-Genis-Pouilly - Saint-Genis-Pouilly (Ain),-152,Commune,46.254539333000004,6.0362907345000005,Saint-Genis-Pouilly,Ain
327,D133146,jf00140066.html,Rapport d'observations définitives,22/11/2013,CRC Auvergne Rhône-Alpes,Commune - THONES - Thônes (Haute-Savoie),37,Commune,45.8852613668,6.31953220709,Thônes,Haute-Savoie
328,,jf00140124.html,Rapport d'observations définitives,14/10/2013,CRC Basse-Normandie Haute-Normandie,Association - Association Pommes et Lutins - Villers-Bocage (Calvados),-229,Association,49.0782420975,-0.652664428102,Villers-Bocage,Calvados
329,,jf00140130.html,Rapport d'observations définitives,09/10/2013,CRC Basse-Normandie Haute-Normandie,Etablissement hospitalier public - Centre hospitalier de Flers - Flers (Orne),-289,Etablissement hospitalier public,48.7399319125,-0.562509564641,Flers,Orne
330,2013039,jf00140139.html,Rapport d'observations définitives,25/11/2013,CRC Centre Limousin,Communauté d'agglomération - Communauté d'agglomération de Tulle - Tulle (Corrèze),16,Communauté d'agglomération,45.2731516999,1.76313875655,Tulle,Corrèze
331,,jf00140143.html,Rapport d'observations définitives,26/11/2013,CRC Basse-Normandie Haute-Normandie,Commune - Agneaux -  (Manche),-17,Commune,49.1198819,-1.1131278999999998,Agneaux,Manche
332,2014002,jf00140224.html,Rapport d'observations définitives,01/04/2013,CRC Centre Limousin,Commune - Commune de Tulle - Tulle (Corrèze),-58,Commune,45.2731516999,1.76313875655,Tulle,Corrèze
333,2013-0096 R,jf00140227.html,Rapport d'observations définitives,25/11/2013,CRC Ile-de-France,"Centre hospitalier spécialisé - CHS ""Les Murets"" - La Queue-en-Brie (Val-de-Marne)",-33,Centre hospitalier spécialisé,48.7775866104,2.58385577608,La Queue-en-Brie,Val-de-Marne
334,2014-005,jf00140236.html,Rapport d'observations définitives,25/11/2013,CRC Midi-Pyrénées,Communauté de communes - Communauté de communes de la vallée de Saint-Savin - Saint-Savin (Hautes-Pyrénées),-99,Communauté de communes,42.9753213682,-0.0917828178997,Saint-Savin,Hautes-Pyrénées
335,CALR2013044,jf00140238.html,Rapport d'observations définitives,25/11/2013,CRC Champagne-Ardenne Lorraine,Commune - Commune d'Epinal - Epinal (Vosges),-22,Commune,48.16312026560001,6.47989286928,Epinal,Vosges
336,2014-007,jf00140245.html,Rapport d'observations définitives,30/10/2013,CRC Midi-Pyrénées,Commune - Lisle-sur-Tarn - Lisle-sur-Tarn (Tarn),83,Commune,43.8974980421,1.7820014386099998,Lisle-sur-Tarn,Tarn
337,2014-008,jf00140247.html,Rapport d'observations définitives,26/11/2013,CRC Midi-Pyrénées,Commune - Gramat - Gramat (Lot),-20,Commune,44.76356036439999,1.71620459363,Gramat,Lot
338,LRR201407,jf00140260.html,Rapport d'observations définitives,09/12/2013,CRC Languedoc-Roussillon,Etablissement hospitalier public - Centre hospitalier de Mende - Mende (Lozère),-396,Etablissement hospitalier public,44.529450859200004,3.48086881176,Mende,Lozère
339,2013-47,jf00140314.html,Rapport d'observations définitives,05/11/2013,CRC Bretagne,Commune - Domloup - Domloup (Ille-et-Vilaine),-3,Commune,48.067068804099996,-1.5428838018200002,Domloup,Ille-et-Vilaine
340,2013-47,jf00140321.html,Rapport d'observations définitives,05/11/2013,CRC Bretagne,Commune - Domloup - Domloup (Ille-et-Vilaine),-21,Commune,48.067068804099996,-1.5428838018200002,Domloup,Ille-et-Vilaine
341,2013-46,jf00140329.html,Rapport d'observations définitives,25/10/2013,CRC Bretagne,Commune - Questembert - Questembert (Morbihan),-3,Commune,47.66380177470001,-2.43671076032,Questembert,Morbihan
342,,jf00140349.html,Rapport d'observations définitives,05/05/2014,CRC Provence-Alpes-Côte d'Azur,Commune - Commune du Cannet - Le Cannet (Alpes-Maritimes),-103,Commune,43.5729768613,7.00642057758,Le Cannet,Alpes-Maritimes
343,,jf00140369.html,Rapport d'observations définitives,19/08/2013,CRC Centre Limousin,Commune - ORLEANS - Orleans (Loiret),22,Commune,47.91914269999999,1.8957822,Orleans,Loiret
344,,jf00140377.html,Rapport d'observations définitives,06/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Roullet-Saint-Estèphe -  (Charente),74,Commune,45.5912616,0.0285704,Roullet-Saint-Estèphe,Charente
345,,jf00140378.html,Rapport d'observations définitives,06/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Casteljaloux -  (Lot-et-Garonne),6,Commune,44.31374599999999,0.088354,Casteljaloux,Lot-et-Garonne
346,,jf00140406.html,Rapport d'observations définitives,30/10/2013,CRC Basse-Normandie Haute-Normandie,Communauté d'agglomération - Communauté d'agglomération Rouen-Elbeuf-Austreberthe (CREA) - Rouen (Seine-Maritime),133,Communauté d'agglomération,49.441346010299995,1.09256784278,Rouen,Seine-Maritime
347,,jf00140474.html,Rapport d'observations définitives,06/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Gujan-Mestras -  (Gironde),-16,Commune,44.635731,-1.071189,Gujan-Mestras,Gironde
348,,jf00140498.html,Rapport d'observations définitives,14/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Martignas-sur-Jalle -  (Gironde),-91,Commune,44.840366,-0.7749009,Martignas-sur-Jalle,Gironde
349,2014-009,jf00140565.html,Rapport d'observations définitives,29/11/2013,CRC Midi-Pyrénées,Communauté de communes - Communauté de communes de Gramat - Gramat (Lot),-84,Communauté de communes,44.76356036439999,1.71620459363,Gramat,Lot
350,2014- 331,jf00140589.html,Rapport d'observations définitives,12/05/2014,CRC Alsace,Communauté de communes - Communaute de communes du Pays de Thann - Cernay (Haut-Rhin),17,Communauté de communes,47.794507815299994,7.179328204089999,Cernay,Haut-Rhin
351,,jf00140614.html,Rapport d'observations définitives,19/05/2014,CRC Aquitaine Poitou-Charentes,Commune - Nay -  (Pyrénées-Atlantiques),41,Commune,43.20377149999999,-0.2927318,Place de la Mairie,Pyrénées-Atlantiques
